FIPS*,Name,RUC Code,All people in poverty (2021) Percent,Children ages 0-17 in poverty (2021) Percent
12023,Columbia,4,16.5,22.7
12027,DeSoto,6,25.5,36.7
12029,Dixie,8,23.4,32.7
12031,Duval,1,14.9,20.9
12033,Escambia,2,18.5,28.1
12035,Flagler,2,10.3,19.2
12037,Franklin,8,21,35
12039,Gadsden,2,25.8,42.4
12041,Gilchrist,2,15.3,22.5
12043,Glades,8,19.2,24.7
12045,Gulf,8,15.7,25.2
12047,Hamilton,8,25.7,35.7
12049,Hardee,6,21.9,26.2
12051,Hendry,4,21.7,28.3
12053,Hernando,1,12,18
12055,Highlands,3,15.1,22.8
12057,Hillsborough,1,14.3,19.5
12059,Holmes,8,20,30.3
12061,Indian River,3,11.7,19.3
12063,Jackson,6,20.6,26.9
12065,Jefferson,2,16.4,25.4
12067,Lafayette,9,18.9,28.2
12069,Lake,1,10,15.9
12071,Lee,2,12.2,18.1
12073,Leon,2,16.2,16.1
12075,Levy,2,18.8,32.8
12077,Liberty,8,23.1,27.8
12079,Madison,8,21.8,31.2
12081,Manatee,2,9.9,15.8
12083,Marion,2,13.6,20.7
12085,Martin,2,11.4,16.9
12086,Miami-Dade,1,15.2,18.1
12087,Monroe,4,11,17.4
12089,Nassau,1,9.9,14.3
12091,Okaloosa,2,9.7,14.6
12093,Okeechobee,4,20.9,30.4
12095,Orange,1,14.9,20.4
12097,Osceola,1,13.3,20.4
12099,Palm Beach,1,11.6,15.9
12101,Pasco,1,11.6,16.8
12103,Pinellas,1,12.3,15.7
12105,Polk,2,15.6,22.7
12107,Putnam,4,26.3,41.1
12109,St. Johns,1,6.3,6.6
12111,St. Lucie,2,11.4,18.4
12113,Santa Rosa,2,8.9,12
12115,Sarasota,2,8.6,13.3
12117,Seminole,1,9.4,11.2
12119,Sumter,3,9.5,25.6
12121,Suwannee,6,20.6,28.4
12123,Taylor,6,20.1,28.6
12125,Union,8,22.7,24.3
12127,Volusia,2,13.8,19.1
12129,Wakulla,2,10.1,16.8
12131,Walton,2,12.4,18.8
12133,Washington,3,19.2,28.1
