,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,Median Household Income (2021),% of State Median HH Income
13111,"Fannin County, GA",7.6,6.3,5.4,4.8,4.0,3.5,4.7,2.9,2.8,"$54,446",81.9%
13113,"Fayette County, GA",6.1,5.3,4.8,4.1,3.5,3.1,5.4,2.9,2.7,"$92,319",138.8%
13115,"Floyd County, GA",7.9,6.8,6.1,5.3,4.3,4.0,6.2,3.7,3.2,"$59,685",89.7%
13117,"Forsyth County, GA",5.3,4.6,4.2,3.8,3.2,2.9,4.5,2.5,2.4,"$120,919",181.8%
13119,"Franklin County, GA",8.2,6.4,5.3,4.8,3.9,3.6,5.8,3.8,3.3,"$48,045",72.2%
13121,"Fulton County, GA",7.1,6.1,5.5,4.9,4.1,3.6,7.9,4.6,3.3,"$82,820",124.5%
13123,"Gilmer County, GA",7.3,6.1,5.8,5.1,4.2,3.6,4.7,3.1,3.1,"$57,970",87.2%
13125,"Glascock County, GA",8.1,6.7,6.1,5.0,4.2,3.8,4.0,2.7,3.2,"$49,175",73.9%
13127,"Glynn County, GA",7.5,6.2,5.4,4.8,3.7,3.5,6.7,3.8,3.0,"$60,685",91.2%
13129,"Gordon County, GA",7.3,6.0,5.7,4.7,3.9,3.5,5.4,3.3,2.9,"$56,053",84.3%
13131,"Grady County, GA",7.4,6.1,5.5,4.9,3.9,3.5,4.4,3.2,3.1,"$42,171",63.4%
13133,"Greene County, GA",8.2,6.7,6.1,5.2,4.3,4.0,5.8,3.8,3.3,"$65,261",98.1%
13135,"Gwinnett County, GA",6.1,5.3,4.8,4.3,3.6,3.2,6.3,3.5,2.8,"$75,021",112.8%
13137,"Habersham County, GA",7.0,5.8,5.4,4.6,3.8,3.5,5.4,3.6,3.2,"$55,987",84.2%
13139,"Hall County, GA",5.9,4.9,4.6,3.9,3.2,2.9,4.7,2.7,2.5,"$68,057",102.3%
13141,"Hancock County, GA",11.7,10.0,8.5,7.1,6.0,5.8,8.8,6.3,5.1,"$35,830",53.9%
13143,"Haralson County, GA",8.0,6.7,5.9,4.8,3.9,3.5,5.8,3.5,3.1,"$62,472",93.9%
13145,"Harris County, GA",6.0,5.3,4.9,4.2,3.4,3.2,4.5,2.9,2.9,"$80,911",121.7%
13147,"Hart County, GA",7.5,6.3,5.4,4.5,3.7,3.6,5.4,3.9,3.1,"$59,149",88.9%
13149,"Heard County, GA",7.9,6.5,6.0,5.0,3.9,3.5,6.5,3.9,3.1,"$50,379",75.7%
13151,"Henry County, GA",7.3,6.3,5.6,4.9,4.2,3.7,7.3,4.2,3.3,"$76,577",115.1%
13153,"Houston County, GA",6.8,5.9,5.4,4.8,4.1,3.5,5.2,3.7,3.2,"$71,609",107.7%
13155,"Irwin County, GA",9.6,8.5,7.9,7.1,5.7,4.8,5.6,4.6,4.1,"$44,540",67.0%
13157,"Jackson County, GA",5.9,4.9,4.3,3.7,3.1,2.8,4.3,2.5,2.0,"$72,486",109.0%
13159,"Jasper County, GA",6.7,5.6,4.8,4.3,3.5,3.3,4.9,3.2,2.7,"$61,354",92.3%
13161,"Jeff Davis County, GA",8.2,6.8,6.4,6.1,4.9,4.7,5.1,4.0,3.7,"$42,192",63.4%
13163,"Jefferson County, GA",11.3,9.2,7.5,6.2,5.3,4.9,6.7,4.9,4.2,"$42,461",63.8%
